Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas,Niños UKA,Familias UKA
150740026,15,México,Mex.,74,San Felipe Del Progreso,26,Dios Padre,R,"19°37´04.636N""","100°03´53.976W""",19.617954,-100.064993,2677,E14A26,1104,539,565,211,,
150740027,15,México,Mex.,74,San Felipe Del Progreso,27,Dolores Hidalgo,U,"19°39´30.348N""","099°55´31.060W""",19.65843,-99.925294,2561,E14A27,3374,1616,1758,707,,
150740028,15,México,Mex.,74,San Felipe Del Progreso,28,Dotegiare,R,"19°42´26.145N""","100°02´37.251W""",19.707263,-100.043681,2746,E14A26,1139,517,622,219,,
150740170,15,México,Mex.,74,San Felipe Del Progreso,170,Ejido De Chichilpa,R,"19°41´31.291N""","100°03´06.081W""",19.692025,-100.051689,2683,E14A26,157,82,75,30,,
150740275,15,México,Mex.,74,San Felipe Del Progreso,275,Ejido De La Cabecera,R,"19°43´39.141N""","099°55´37.550W""",19.727539,-99.927097,2550,E14A27,333,160,173,72,,
150740293,15,México,Mex.,74,San Felipe Del Progreso,293,Ejido De La Concepción Chico,R,"19°41´42.964N""","100°01´19.824W""",19.695268,-100.022173,2674,E14A26,163,79,84,33,,
150740260,15,México,Mex.,74,San Felipe Del Progreso,260,Ejido De Palmillas,R,"19°40´50.800N""","099°54´53.730W""",19.680778,-99.914925,2572,E14A27,188,92,96,43,,
150740251,15,México,Mex.,74,San Felipe Del Progreso,251,Ejido De San Felipe Del Progreso,R,"19°43´35.375N""","099°56´54.151W""",19.726493,-99.948375,2570,E14A27,248,122,126,61,,
150740261,15,México,Mex.,74,San Felipe Del Progreso,261,Ejido De San Juan Jalpa,R,"19°41´36.582N""","099°54´31.870W""",19.693495,-99.908853,2540,E14A27,526,238,288,128,,
150740120,15,México,Mex.,74,San Felipe Del Progreso,120,Ejido De Tlalchichilpa,R,"19°43´22.956N""","100°01´57.221W""",19.723043,-100.032561,2849,E14A26,347,158,189,64,,
150740126,15,México,Mex.,74,San Felipe Del Progreso,126,Ejido Del Tunal Nenaxi,R,"19°44´38.254N""","099°54´33.642W""",19.743959,-99.909345,2540,E14A27,1941,954,987,409,,
150740130,15,México,Mex.,74,San Felipe Del Progreso,130,Ejido La Virgen,R,"19°35´50.325N""","100°03´10.367W""",19.597313,-100.05288,2659,E14A26,924,438,486,158,,
